number,value,datetime_start,datetime_complete,duration,params_batch_size,params_beta,params_dropout,params_encoding_type,params_learning_rate,params_optimizer,user_attrs_mae,user_attrs_r2_score,user_attrs_trial_time,state
0,0.04273288697004318,2025-11-10 00:51:23.723326,2025-11-10 00:55:05.406508,0 days 00:03:41.683182,32,0.872779334882912,0.23830978379974238,direct,0.0018217437160388743,SGD,0.17567524446461064,0.6917871519029816,221.68187284469604,COMPLETE
1,0.13375123217701912,2025-11-10 00:55:05.408085,2025-11-10 01:06:11.091730,0 days 00:11:05.683645,8,0.8595637502901351,0.19483038399666858,direct,0.00020261628478214258,Adam,0.304458916760408,0.08592573113002344,665.6823649406433,COMPLETE
2,0.03847405593842268,2025-11-10 01:06:11.092779,2025-11-10 01:16:02.160678,0 days 00:09:51.067899,8,0.8451793959584766,0.23720923025795387,direct,0.0012875000124294073,SGD,0.19744371422208273,0.6556348739920664,591.0668530464172,COMPLETE
3,0.038688257336616516,2025-11-10 01:16:02.161808,2025-11-10 01:22:22.263683,0 days 00:06:20.101875,16,0.7379051289880605,0.19017681667866168,direct,0.00807470730409446,AdamW,0.1802016539642444,0.738437212148441,380.1007730960846,COMPLETE
4,0.12193482369184494,2025-11-10 01:22:22.265041,2025-11-10 01:26:00.003864,0 days 00:03:37.738823,32,0.9486394512806341,0.054677922537800704,direct,0.0003756243768789043,SGD,0.3072787798368014,0.21258305643316422,217.73594117164612,COMPLETE
5,0.06749506294727325,2025-11-10 01:26:00.005081,2025-11-10 01:32:06.611383,0 days 00:06:06.606302,16,0.8740759822344825,0.2966740603721174,direct,0.0005566814188805499,Adam,0.24064953066408634,0.41152392823490336,366.60228991508484,COMPLETE
6,0.06392204016447067,2025-11-10 01:32:06.612604,2025-11-10 01:35:31.796980,0 days 00:03:25.184376,32,0.7829982081610909,0.08628756173568287,direct,0.0006203849168534644,Adam,0.21065588753957015,0.5685415825752664,205.18063139915466,COMPLETE
7,0.03281938750296831,2025-11-10 01:35:31.798384,2025-11-10 01:42:28.199087,0 days 00:06:56.400703,8,0.8977275600414748,0.218713623249553,direct,0.0011672516825951143,SGD,0.15361557958217767,0.768627256204911,416.3992974758148,COMPLETE
8,0.6101189255714417,2025-11-10 01:42:28.200103,2025-11-10 01:53:25.129282,0 days 00:10:56.929179,8,0.9142150470898684,0.18599266347430096,direct,0.00017816382997960458,AdamW,0.6837517556089622,-3.0627794754935866,656.9281549453735,COMPLETE
9,0.034803394228219986,2025-11-10 01:53:25.130562,2025-11-10 01:59:11.582897,0 days 00:05:46.452335,8,0.900916323366171,0.06017857948810898,direct,0.002363240205998397,AdamW,0.17022195071555102,0.7336583755525736,346.4491376876831,COMPLETE
10,0.03500199504196644,2025-11-10 01:59:11.584023,2025-11-10 02:08:47.199967,0 days 00:09:35.615944,8,0.7967221926856853,0.1069789690580783,direct,0.005585708435190077,SGD,0.18855260942990965,0.679733957906265,575.6148834228516,COMPLETE
11,0.028493210673332214,2025-11-10 02:08:47.201146,2025-11-10 02:19:35.334269,0 days 00:10:48.133123,8,0.9149380375212918,0.0014996601218044692,direct,0.002433979254721562,AdamW,0.13310382744440666,0.8259066666968806,648.1318776607513,COMPLETE
12,0.023212241008877754,2025-11-10 02:19:35.335380,2025-11-10 02:30:26.452941,0 days 00:10:51.117561,8,0.9396475430077872,0.02342005736164447,direct,0.003353885809099153,AdamW,0.1695395398598451,0.755519066852978,651.1139924526215,COMPLETE
13,0.03641982562839985,2025-11-10 02:30:26.454440,2025-11-10 02:39:32.699978,0 days 00:09:06.245538,8,0.9481875237104941,0.009169041309566806,direct,0.003518727453531517,AdamW,0.16548362288337487,0.753016576770876,546.2420737743378,COMPLETE
14,0.02727336250245571,2025-11-10 02:39:32.701090,2025-11-10 02:50:30.325578,0 days 00:10:57.624488,8,0.9217706303785073,0.008167216347127136,direct,0.00358393154220545,AdamW,0.13788200800235456,0.8032998588747656,657.623476266861,COMPLETE
15,0.03426386043429375,2025-11-10 02:50:30.326846,2025-11-10 02:56:38.687395,0 days 00:06:08.360549,16,0.8141997868969675,0.12975686303788203,direct,0.004965698242029857,AdamW,0.15406773841151825,0.7753825081433755,368.35965037345886,COMPLETE
16,0.02163513470441103,2025-11-10 02:56:38.688768,2025-11-10 03:07:25.285958,0 days 00:10:46.597190,8,0.9320405786091646,0.0359117786731738,direct,0.009478855050990368,AdamW,0.13603474672597188,0.8383097082490883,646.5910134315491,COMPLETE
17,0.028568492271006107,2025-11-10 03:07:25.288561,2025-11-10 03:18:06.080837,0 days 00:10:40.792276,8,0.707405597967491,0.04525980417849006,direct,0.008778121328317555,AdamW,0.1255142645767102,0.8268561864924067,640.79119348526,COMPLETE
18,0.03867359086871147,2025-11-10 03:18:06.081848,2025-11-10 03:21:37.665805,0 days 00:03:31.583957,32,0.9455411155476958,0.08827146188755866,direct,0.009167681495847171,AdamW,0.19251427365592322,0.7027870637879996,211.58220720291138,COMPLETE
19,0.03292010352015495,2025-11-10 03:21:37.667026,2025-11-10 03:27:46.650759,0 days 00:06:08.983733,16,0.839032901642124,0.13768994371332974,direct,0.004910282150330099,AdamW,0.14127021200525072,0.7816756077543119,368.9820737838745,COMPLETE
20,0.036383808590471745,2025-11-10 03:27:46.652439,2025-11-10 03:38:41.759295,0 days 00:10:55.106856,8,0.9294003009526578,0.036085642864259256,direct,0.0001111419289225537,Adam,0.16162884887307882,0.7478182889166635,655.1057140827179,COMPLETE
21,0.02950451150536537,2025-11-10 03:38:41.760370,2025-11-10 03:47:45.782421,0 days 00:09:04.022051,8,0.8881122211492477,0.021177500838830653,direct,0.003486752420489384,AdamW,0.15020934097586947,0.7893786221036712,544.0186104774475,COMPLETE
22,0.028181609697639942,2025-11-10 03:47:45.783798,2025-11-10 03:58:50.101818,0 days 00:11:04.318020,8,0.9181141419651332,0.07400055987870906,direct,0.0033316005481570047,AdamW,0.13814807654573366,0.822321222184435,664.3144416809082,COMPLETE
